Generation,Population,BestFitness,AverageFitness,WorstFitness,Wind,TargetX,BestAngle,BestForce,BestVariance,AvgAngle,AvgForce,AvgVariance,WorstAngle,WorstForce,WorstVariance
73, 87,-0.005712509,-1.21851,-5.632601,0,20,43.10378,13.86153,10.66471,43.35777,13.89441,11.23557,40.40063,15.85563,11.0089
74, 87,-0.001882553,-1.061891,-6.050703,0,20,41.85382,13.86202,11.16308,43.43392,13.91042,11.37002,41.14589,11.96784,11.96998
75, 87,-0.007852554,-1.162179,-5.382309,0,20,45.40894,13.87879,11.58936,43.64814,13.86037,11.46582,43.0083,11.99317,12.15899
76, 87,-0.01834869,-1.419965,-6.546865,0,20,43.55624,13.87449,11.47805,44.23993,13.87155,11.59487,48.36426,12.07542,11.66514
77, 87,-0.01053047,-1.012302,-6.245546,0,20,43.26403,13.86885,11.62944,44.2893,13.90867,11.67107,45.90131,15.86178,11.92655
78, 87,-0.005418777,-0.990081,-5.674549,0,20,43.9073,13.93088,11.67272,44.40524,14.00916,11.82147,43.02501,15.6623,12.05006
79, 87,-0.006315231,-1.137733,-6.172543,0,20,42.08241,13.86342,12.26837,44.20153,13.93031,11.94185,45.16263,15.87429,12.34158
80, 87,-0.01825905,-1.18566,-6.103388,0,20,44.26337,13.89516,11.87621,43.99352,13.98994,11.98421,43.49152,15.87341,11.70767
81, 87,-0.002840042,-1.122749,-5.486216,0,20,39.11787,13.89226,11.95093,43.54852,13.92294,12.06076,40.31432,15.6375,12.4015
82, 87,-0.0002365112,-1.413843,-5.371578,0,20,48.78485,13.88523,11.82062,43.24165,13.86789,12.24623,40.04881,15.60086,12.21037
83, 87,-0.008153915,-1.208993,-6.073719,0,20,45.20409,13.87156,12.67734,43.84154,13.99258,12.3839,41.46784,15.82093,11.97614
84, 87,-0.001127243,-1.297785,-6.013741,0,20,40.99554,13.8867,12.73666,43.34125,13.87534,12.50706,43.58926,15.80836,12.72157
85, 87,-0.004663467,-1.069301,-5.791437,0,20,44.72092,13.88539,12.45061,43.29736,13.83339,12.57289,42.9378,15.79478,12.14581
86, 87,-0.01656151,-1.255541,-5.834183,0,20,42.23173,13.80621,12.312,43.52858,13.92675,12.67718,44.0536,15.77458,12.6556
87, 87,-0.007305145,-1.060268,-6.315723,0,20,42.98235,13.91236,13.30495,43.46489,13.87979,12.85922,43.93158,11.9287,12.5016
